荧光 特性 应用 发展趋势,"本文主要介绍目前新型荧光材料的荧光特性 ,着重介绍了荧光材料在农业、工业、医药学方面的应用 ,并探讨了新型荧光材料的研究及发展趋势"
UV油墨 碳黑颜料 固化速度,"由于颜料对紫外光的吸收作用 ,影响了光引发剂的光引发效率 ,因此它对UV油墨的固化速度有着很大的影响。本文采用不同的碳黑颜料在不同用量的情况下与不同的光引发剂配制丝印UV油墨 ,通过对油墨的印刷密度和固化速度的测试 ,研究了不同种类的碳黑颜料对UV油墨固化速度的影响。"
UV油墨 UV固化 光引发剂 颜料 固化速度 光谱吸收曲线 印刷密度,UV油墨由于干燥速度快无污染印刷质量高等优点在印刷行业正在被越来越广泛的应用在UV油墨中固化速度是一个比较重要的问题UV油墨的固化是依靠光引发剂吸收辐射能后形成自由基或阳离子引发单体和预聚物发生聚合交联和接枝反应形成交联的立体网状结构的高分子聚合物从而使油墨固化另外由于油墨含有颜料而不同的颜料对紫外光也有不同程度的吸收反射和散射从而影响油墨的固化速度所以无论是光引发剂还是颜料它们对UV油墨的固化速度都有着很重要的影响本论文利用了9种光引发剂11种颜料在相同的条件下改变光引发剂颜料的种类及用量配制四色丝印UV油墨测试了所用颜料的光谱吸收曲线配制油墨的固化速度以及在改变颜料时的印刷密度研究了光引发剂颜料对于UV油墨的固化速度的影响研究结果表明光引发剂颜料对UV油墨的固化速度的影响很大要提高UV油墨的固化速度首先必须选择好光引发剂和颜料的种类这是非常重要的光引发剂吸收光谱要与光源的辐射光谱相匹配同时应与油墨的颜料相匹配即光引发剂的吸收峰尽可能在颜料光谱窗弱吸收范围内颜料对UV油墨固化速度的影响主要由于它对紫外光的吸收不同种类的颜料对UV油墨固化速度的影响是不同的颜色的影响尤为严重UV油墨固化速度的顺序依次为品红墨黄墨青墨黑墨油墨中光引发剂颜料的含量要适量颜料的含量应在保证印刷密度的前提条件下越低越好通过本论文的实验可以得到光引发剂819与BK2碳黑颜料匹配最佳最佳颜料的含量约为7光引发剂ITX与C3酞菁蓝颜料匹配最佳最佳颜料的含量约为6光引发剂ITX与Y2联苯胺黄颜料匹配最佳最佳颜料的含量约为6光引发剂ITX与M四色版宝红颜料匹配最佳最佳颜料的含量约为6运用本论文的研究结果配制UV丝印光盘油墨由油墨生产厂进行中试并在光盘印刷厂进行印刷通过对研制的油墨的性能印刷质量与同类进口墨相比较结果表明研制的油墨的固化速度以及印刷性能印刷质量都很好北京化工大学硕士学位论文完全可替代进口油墨关键词UV油墨UV固化光引发剂颜料固化速度光谱吸收曲线印刷密度
消泡剂 表面张力 水基油墨,"分析水基油墨出现泡沫的原因、对印刷质量的影响及消除途径 ,并通过实验找到了适用的消泡剂型号 ,指出当加入量为 0 .3 %～ 0 .5 %时消泡效果为佳"
紫外光 辐射固化 多官能团单体 低聚物 光引发剂,"涂层紫外光固化技术由于在能源节省、产品质量以及环保方面的优势 ,正在不断的迅速发展 .本文综述了近年来辐照设备的进步 ,以及紫外光固化体系所涉及的单体、齐聚体和光引发剂的研究发展情况"
UV固化技术 辐射固化 涂料 稀释单体 预聚体,"由于UV固化技术固有的特点使其在近几年各个领域都获得了高速的发展,但所占市场份额仍然很小。经过学术界和各大公司的努力,目前已经在UV固化材料方面取得了可喜的成绩。稀释单体、预聚体在数量和质量上都有大幅度增加,发展方向是降低刺激性、低毒和赋予特殊功能:在双光子引发自由基聚合、阳离子光固化、杂混光固化、光产碱催化聚合、无光引发剂光固化、水基固化方面取得了一定的进展;UV粉末涂料克服了传统粉末涂料的缺点脱颖而出,成为近年来研究开发的热点;UV固化纳米材料更是集纳米技术、纳米材料、UV固化技术于一体,预计将会开发出具有特殊功能的新材料;UV固化技术在电子、信息领域也具有很好的发展前景。"
稀土 发光材料 激光材料 荧光探针,"近年来 ,稀土元素及其化合物已成为现代尖端科技领域不可缺少的特殊材料 ,本文就其发光特性和应用作一介绍"
喷墨打印 按需喷墨 色彩管理系统 连续喷墨 喷墨技术 印刷色彩 新闻纸 压电原理 直接加热 传送系统," 现今的喷墨打印系统具备了模拟报纸印刷色彩所需的各种要素—— 可以在新闻纸上做出玫瑰网纹,再借助先进的色彩管理系统就能准确匹配色彩。 连续喷墨和按需喷墨是两种主要喷墨技术,前者可不间断喷射墨流,后者则是高速按需喷墨。"
阳离子型絮凝剂 有机絮凝剂 高分子絮凝剂 水处理,"絮凝剂是絮凝法水处理技术的核心 ,目前阳离子高分子絮凝剂作为龙头产品受到人们广泛关注。就国内外阳离子有机絮凝剂的研究开发和应用进行评述 ,内容涉及阳离子型聚丙烯酰胺接枝共聚物、羟基醚化类、烷基烯丙基卤化铵类和环氧氯丙烷与胺反应物 ,特别是淀粉等天然高分子改性阳离子型絮凝剂和人工合成的无毒有机阳离子高分子絮凝剂"
酶制剂 工业 应用,"综述了国内外酶制剂工业生产的安全卫生管理 ,以及酶制剂在食品、纺织、造纸等工业领域中应用的进展"
紫外光固化UV固化油墨 自由基光固化油墨 阳离子光固化油墨 混杂光固化油墨,紫外光固化UV固化技术应用于涂料油墨粘合剂等领域高效节能无环境污染且产品性能优异为行内竞相开发的新技术本文根据UV固化机理对自由基阳离子及自由基阳离子混杂体系油墨进行了研究并自行合成了自由基体系油墨的粘结料环氧丙烯酸酯EA和聚氨酯丙烯酸酯PUA在自由基体系中实验着重于引发剂与颜料的紫外吸收波长配伍在测定了四种基本颜色各自紫外吸收波长的基础上寻找出与不同颜色体系相匹配的引发剂配方得出用于红黄兰黑色油墨的引发剂分别为I369I819I180OITXI369自由基体系油墨粘度为21002200cP固化温度80固化时间为086S附着力7086丙酮擦拭20O次铅笔硬度为H2H在阳离子体系中出于降低成本的考虑实验选用了较便宜的双酚A环氧树脂为粘结料探索了与其它原料的配比筛选出E5lUVR6128polyol0301UVI6974的最佳阳离子油墨配方阳离子油墨粘度为1280180OcP固化温度80固化时间为1336S附着力100丙酮擦拭200次铅笔硬度为HB2H自由基和阳离子体系油墨的性能均达到或超过了相关技术指标在自由基和阳离子油墨优化配方的基础上本文通过改变两体系的配比进行了自由基阳离子混杂体系油墨配方的探索混杂体系油墨粘度为15802100cP固化温度80固化时间0823S附着力85100丙酮擦拭108200次铅笔硬度为H2H固化后的混杂体系涂层固化速度界于自由基与阳离子体系固化速度之间价格适中但附着力和耐溶剂性欠佳有待进一步研究建议改变混杂体系中的树脂连接料采用同一分子上既有丙烯酸酯官能团又有环氧官能团的单体
UV油墨 环保型 工艺参数 网版制作 光固油墨 印刷器材 承印物 感光胶层 锐利度 色密度,"本文作者概述了现今广告中油墨应用的现状,并特别推荐了美国HUOOO系列水性UV光固油墨,介绍了其特征、工艺参数及在使用中应注意的问题。"
印刷油墨 柔性版印刷 水性油墨 珠光效果 UV油墨 网纹辊 珠光油墨 柔版印刷 醇溶性油墨 干燥速度,"本文对环保的柔性版印刷、水性柔版油墨进行了系统的介绍,并在文末重点阐述了珠光柔性水墨的使用方法和注意事项。"
苯 有机废气 复方液吸收法,"低浓度苯类有机废气的常用处理方法有催化燃烧法、活性炭吸附法、微生物处理法及吸收法等 ,其中吸收法投资费用少 ,运行成本低 ,在中小型企业中得到广泛应用。文章结合具体应用实例 ,在传统吸收法的基础上 ,针对低浓度苯类有机废气提出了一种新的复方液吸收法 ,提高了吸收效率 ,使低浓度苯类废气的净化处理效率达到 87.5 %。该项技术具有投资省、运行成本低、净化效率高、易操作等特点 ,有很好的推广应用价值"
热转印印刷机 医用产品 数字系统 包装印刷 柔印技术 柔印工艺 可变信息 印版 印刷工艺 柔印机,"柔印工艺目前被广泛应用于药品软包装产品的生产中。随着热转印数字印刷的发展。柔印工艺遭遇到了挑战。本文针对传统柔印工艺与数字印刷工艺之特点,阐述了二者的利弊。"
网点扩大 典型故障分析 柔性版印刷 故障统计 印版 硬度 承印物 印刷方式 包装印刷 感光树脂版,"本文作者对柔性版印刷中出现几率最大的故障——网点扩大进行了多方面的分析和统计,并针对其成因超出了相应的解决方法。"
中国市场 生产基地 经销商 普通型 公司 油墨制造 丝网印刷 水性 市场推广 合成纸," 美国丽色达公司最近加大了水性UV油墨在中国市场的推广力度。美国丽色达公司是北美最大的丝网印刷油墨制造商,在北美,丽色达有5家生产基地,在全球有50多家经销商。丽色达公司在中国市场主要推广其普通型的"
稀土 无机光致发光材料 有机光致发光材料 荧光灯 长余辉材料,"本文就稀土光致发光材料进行了分类 ,对其发光特性作了简要介绍 ,综述了其开发与应用的历史与现状 ,并介绍了其目前在各个领域的应用产品 ."
包装印刷市场 凹印机 柔印机 瓦楞纸印刷 生产线 市场占有率 印刷工艺 技术条件 标签印刷 纸盒包装,"本文将柔印、凹印在国内外的应用现状进行对比,充分肯定了其广阔的可开发空间。"
包装印刷 油墨 环境性能 绿色化,"环境污染问题已成为阻碍新世纪包装印刷工业持续发展的大问题。研究了各种包装印刷工艺的环境特性,并研究了包装印刷材料中油墨的环境性能问题,最后探讨了发展绿色包装印刷的五条措施。"
